ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2017,13281100,115210,6.512225,MN,149,EXEMPT
2018,10414000,115210,7.361714286,FL,103,EXEMPT
2019,11798200,115210,7.720454545,CA,129,CANCLD
2020,2616200,115210,8.254444444,PA,32,EXEMPT
2012,1082100,115310,6.76,WI,212,PIF
2013,2168800,115310,5.679375,VT,168,PIF
2014,1428500,115310,5.919230769,OR,39,PIF
2015,1507500,115310,6.49675,ID,188,PIF
2016,1939100,115310,6.465384615,MS,81,EXEMPT
2017,4983900,115310,6.43375,MD,274,COMMIT
2018,4053500,115310,6.84047619,ID,303,EXEMPT
2019,12492000,115310,7.670625,OR,173,EXEMPT
2020,1542000,115310,6.894833333,WV,20,EXEMPT
2012,2350000,211111,5.0375,TX,4,CANCLD
2013,4827500,211111,5.345,TX,35,PIF
2014,3120500,211111,6.5,OH,276,PIF
2015,4800000,211111,6.3625,CO,2,CANCLD
2016,3641100,211111,6.40625,OK,92,CANCLD
2017,180000,211111,7.625,KS,10,PIF
2012,1865300,211112,4.696666667,LA,191,PIF
2013,2569800,211112,2.93,TX,65,PIF
2015,5000,211112,8.75,CO,2,EXEMPT
2017,568000,211120,5.5,OH,1,EXEMPT
2018,1214000,211120,7.063333333,TX,27,PIF
2019,1578800,211120,8.45,CO,7,COMMIT
2020,2798000,211120,6.1875,TX,77,EXEMPT
2018,1315500,211130,6,OK,9,EXEMPT
2019,678000,211130,8.583333333,PA,5,EXEMPT
2020,85000,211130,6,OK,2,EXEMPT
2012,180000,212111,6.535,ND,46,PIF
2014,3038000,212111,6.25,WY,39,PIF
2016,15000,212111,8.25,VA,0,PIF
2017,3035000,212111,6.746666667,AR,31,EXEMPT
2018,175000,212111,6.25,MD,2,EXEMPT
2019,150000,212111,8.25,PA,0,EXEMPT
2012,136500,212112,5.75,KY,48,PIF
2013,20000,212112,8,KY,14,EXEMPT
2015,2492000,212112,4.02,KY,100,CANCLD
2017,1724800,212112,6.875,OK,70,CANCLD
2014,350000,212113,6,PA,0,EXEMPT
2017,600000,212113,6.75,PA,20,EXEMPT
2019,25000,212113,7.99,KY,0,EXEMPT
2013,100000,212210,4.25,OH,0,PIF
2015,274600,212210,5.25,OK,77,PIF
2013,60000,212221,7.71,ID,1,CANCLD
2014,245000,212221,6.91,UT,11,PIF
2015,5247600,212221,5.98,AK,100,EXEMPT
2016,415000,212221,7.125,AK,55,EXEMPT
2017,22500,212221,9.125,AK,3,EXEMPT
